[LOG] 10/2/2025 12:33:41 AM: Client 'user1' connected.
[LOG] 10/2/2025 12:33:54 AM: Client 'user2' connected.
[CHAT] 10/2/2025 12:34:02 AM: PM from user1 to user2: test
[CHAT] 10/2/2025 12:34:21 AM: user1: test
[CHAT] 10/2/2025 12:34:25 AM: user2: p
[CHAT] 10/2/2025 12:34:26 AM: user2: p
[CHAT] 10/2/2025 12:34:26 AM: user2: p
[CHAT] 10/2/2025 12:34:26 AM: user2: p
[CHAT] 10/2/2025 12:34:26 AM: user2: p
[CHAT] 10/2/2025 12:34:26 AM: user2: p
[CHAT] 10/2/2025 12:34:26 AM: user2: p
[CHAT] 10/2/2025 12:34:26 AM: user2: p
[CHAT] 10/2/2025 12:34:27 AM: user2: p
[CHAT] 10/2/2025 12:34:27 AM: user2: p
[CHAT] 10/2/2025 12:34:27 AM: user2: pp
[CHAT] 10/2/2025 12:34:27 AM: user2: p
[CHAT] 10/2/2025 12:34:27 AM: user2: p
[CHAT] 10/2/2025 12:34:27 AM: user2: p
[CHAT] 10/2/2025 12:34:28 AM: user2: pp
[CHAT] 10/2/2025 12:34:34 AM: user2: p
[CHAT] 10/2/2025 12:34:34 AM: user2: p
[CHAT] 10/2/2025 12:34:34 AM: user2: p
[CHAT] 10/2/2025 12:34:34 AM: user2: p
[CHAT] 10/2/2025 12:34:34 AM: user2: p
[CHAT] 10/2/2025 12:34:34 AM: user2: p
[CHAT] 10/2/2025 12:34:34 AM: user2: p
[CHAT] 10/2/2025 12:34:34 AM: user2: p
[CHAT] 10/2/2025 12:34:35 AM: user2: p
[CHAT] 10/2/2025 12:34:35 AM: user2: p
[CHAT] 10/2/2025 12:34:35 AM: user2: p
[CHAT] 10/2/2025 12:34:35 AM: user2: p
[CHAT] 10/2/2025 12:34:35 AM: user2: p
[CHAT] 10/2/2025 12:34:35 AM: user2: p
[LOG] 10/2/2025 12:34:40 AM: Client 'user2' disconnected.
[LOG] 10/2/2025 12:34:42 AM: Client 'user1' disconnected.
